id,slug,nombre,tostador,origen,region,variedad,proceso,altitud_m,sca,fecha_tueste,consumir_antes,fecha_apertura,peso_g,precio_eur,notas_tostador,estado,foto,url,conservacion,creado_en
019fd22f-3912-721c-81d1-410dab2353ce,abbie,Abbie,Manea Coffee,México,Chiapas,"Bourbon, Catimor, Garnica y Typica",Mountain Water (descafeinado),1200,82,2026-05-11,2027-05-11,2026-05-11,340,12.5,"Canela, caramelo y chocolate",abierto,fotos/abbie-1785962785061.webp,https://maneacoffee.es/products/abbie,Fellow Atmos 1.2 L,2026-08-05 13:48:58
019fd22f-3911-7fa2-8a44-b8d2ce4d50bc,gary,Gary,Manea Coffee,Perú,Cajamarca,"Catimor, Marsellesa, Pache",Lavado,1500,84,2026-05-20,2027-05-20,2026-05-20,340,13,Nibs de cacao y dulce de leche,terminado,fotos/gary-1785962313095.webp,,Bolsa,2026-08-05 13:48:58
01a061be-44ec-7366-a40d-2bea3bdb6c6c,rico_descafeinado,"Rico ""Descafeinado""",Manea Coffee,Brasil,Cerrado Mineiro,Multivarietal,Acetato de etilo (descafeinado),1300,82.5,2026-08-21,,2026-09-02,340,14.28,"Miel, chips de chocolate y nueces",abierto,fotos/rico_descafeinado-1788346262210.webp,,Bolsa,2026-09-02 10:50:54
01a061c0-6143-7662-9167-50c2d59354bf,spike,Spike,Manea Coffee,Honduras,La Paz,Multivarietal,Lavado,1450,84,2026-08-21,,2026-09-02,340,13.6,"Coco, almendra garrapiñada y chocolate",abierto,fotos/spike-1788346397309.webp,,Bolsa,2026-09-02 10:53:12
