id,nombre,tostador,origen,region,variedad,proceso,altitud_m,sca,fecha_tueste,consumir_antes,peso_g,precio_eur,notas_tostador,estado,fecha_compra,fecha_recepcion,foto,url,conservacion
gary,Gary,Manea Coffee,Perú,Cajamarca,"Catimor, Marsellesa, Pache",Lavado,1500,84,2026-05-20,2027-05-20,340,,Nibs de cacao y dulce de leche,abierto,,,,,
abbie,Abbie,Manea Coffee,México,Chiapas,"Bourbon, Catimor, Garnica y Typica",Mountain Water (descafeinado),1200,82,2026-05-11,2027-05-11,340,,"Canela, caramelo y chocolate",abierto,2026-05-11,2026-05-14,,,Fellow Atmos 1.2 L
